用户码,R值,F值,M值
14681,70,7,498.95
14682,187,2,52.0
14684,25,390,1201.51
14687,106,15,628.38
14688,7,324,5579.1
14689,208,13,112.8
14690,43,48,355.05
14691,30,71,2114.33
14692,136,68,591.55
14693,263,8,172.9
14696,3,130,2078.95
14697,217,22,188.60999999999999
14698,1,200,1217.27
14699,213,8,109.13000000000001
14700,31,112,2195.1
14701,9,327,2526.09
14702,0,342,3251.79
14703,14,22,318.17
14704,10,393,1493.96
14705,197,1,179.0
14708,2,28,1126.37
14709,14,196,4921.04
14710,13,136,599.48
14711,9,345,2839.62
14712,28,25,917.07
14713,8,338,2662.2
14714,23,10,160.19
14715,24,71,867.38
14716,42,51,307.51
14719,0,235,1581.84
14720,5,37,663.81
14722,146,28,180.42000000000002
14723,9,259,1122.3600000000001
14725,23,47,655.58
14727,273,10,268.58
14729,372,71,313.49
14730,0,462,1897.57
14731,46,45,380.02
14732,7,147,2702.4900000000002
14733,15,202,9585.91
14735,3,194,6065.69
14737,3,17,1164.55
14738,42,54,1314.45
14739,3,60,3902.28
14740,196,89,1448.21
14741,11,59,1400.34
14744,15,26,1099.98
14745,112,69,1220.26
14747,248,18,328.2
14748,28,89,1415.75
14752,43,5,389.64
14753,86,30,563.15
14754,44,41,638.05
14755,9,235,5010.28
14756,14,38,738.96
14757,74,19,420.5
14758,144,71,1484.06
14759,4,102,1625.97
14760,296,5,89.2
14761,58,11,255.9
14762,263,21,300.52
14764,46,6,278.3
14765,28,39,254.11
14766,7,135,2473.37
14768,16,5,192.60000000000002
14769,2,1062,10416.98
14770,231,52,876.42
14772,111,9,139.26
14775,57,60,1011.9
14776,50,117,2538.3
14778,126,35,730.86
14779,279,41,386.15
14780,53,27,447.68
14782,319,6,200.10000000000002
14784,25,15,289.99
14785,9,3,77.4
14788,6,30,679.4399999999999
14789,28,6,197.64
14790,16,46,745.06
14792,63,2,6.2
14793,20,14,228.99
14794,2,80,1319.91
14795,165,6,131.45000000000002
14796,0,1132,7975.49
14798,52,12,173.74
14799,50,13,157.7
14800,46,383,4331.79
14801,60,57,189.34
14803,161,44,845.55
14804,8,12,353.27
14805,14,46,546.4
14806,74,11,193.39000000000001
14808,39,231,2718.6
14810,40,254,2085.33
14813,369,29,152.88
14815,36,53,778.5
14816,196,4,271.85
14817,199,63,1110.34
14818,73,48,657.8
14819,63,13,272.07
14820,20,29,507.29
14821,366,2,48.800000000000004
14823,179,70,321.43
14824,9,29,1127.71
14825,3,120,2221.01
14828,196,17,2139.76
14829,28,42,697.55
14830,52,39,188.88
14834,17,67,1720.3
14836,9,6,102.44999999999999
14837,89,108,1649.5
14840,267,4,62.85
14841,52,138,3295.76
14842,42,145,2824.69
14844,63,130,3189.81
14847,148,13,309.4
14849,21,388,7930.54
14850,311,21,325.75
14851,22,28,511.35
14852,57,143,2836.69
14853,23,9,475.8
14854,77,126,2740.03
14855,118,20,645.65
14856,35,65,1290.53
14857,59,60,1173.12
14859,12,58,1353.74
14860,18,11,170.32
14861,51,6,125.79
14862,25,48,841.1999999999999
14863,28,11,266.76
14865,6,4,52.2
14866,10,99,14389.9
14867,185,36,710.28
14868,2,144,2953.59
14869,7,70,721.45
14870,261,13,327.25
14871,2,93,501.28000000000003
14873,209,28,519.68
14875,107,47,1465.3200000000002
14878,12,122,1476.09
14880,76,46,690.59
14881,19,17,255.4
14882,25,11,589.7
14883,18,53,761.59
14885,131,15,765.3199999999999
14886,252,18,364.8
14887,78,6,1862.0
14888,206,20,369.2
14889,335,10,135.9
14890,253,7,125.65
14891,147,33,554.38
14893,9,73,1237.8500000000001
14894,84,23,655.75
14895,7,498,11138.710000000001
14896,204,43,468.77000000000004
14897,7,55,1366.38
14898,22,109,1269.31
14901,10,96,1421.29
14902,25,20,332.66
14903,20,350,2795.33
14904,1,69,1025.44
14905,156,17,616.15
14907,2,165,3501.1
14908,73,9,277.8
14910,2,30,434.35
14912,16,27,867.85
14913,35,87,1227.43
14915,90,12,307.48
14916,70,77,1268.98
14918,115,45,1610.15
14920,212,57,977.77
14921,29,78,1316.07
14923,50,44,749.1
14924,245,10,310.05
14929,31,11,223.88
14930,108,127,2362.96
14931,4,41,1257.68
14932,365,17,363.53
14934,81,87,1890.94
14935,296,10,1784.71
14936,33,364,8137.02
14937,56,34,1621.88
14944,29,170,5900.25
14946,13,3,100.9
14947,71,14,290.82
14948,22,63,1101.97
14950,18,19,371.2
14951,78,20,311.69
14952,59,138,8099.49
14953,24,54,285.67
14954,11,77,294.85
14957,252,12,58.49
14958,146,41,483.72999999999996
14959,63,59,695.42
14960,7,27,221.27
14961,10,312,7044.68
14962,270,5,126.7
14963,9,192,1472.34
14964,246,13,206.21
14965,95,81,596.09
14966,14,36,183.02
14967,49,6,463.8
14968,29,37,147.59
14970,67,34,1592.06
14971,34,155,1097.98
14972,127,18,114.77
14973,106,32,1314.45
14974,36,17,89.94
14975,56,11,279.94
14976,56,72,790.86
14978,71,214,1921.3700000000001
14981,245,8,102.12
14984,18,39,202.37
14985,197,83,292.01
14987,15,4,326.4
14988,211,40,334.54
14995,38,60,231.98000000000002
14997,45,26,546.1999999999999
14998,169,74,414.87
15000,47,77,490.52
15002,115,115,1641.76
15004,146,154,1220.77
15005,15,1112,6295.37
15006,50,132,480.38
15007,158,12,156.91
15009,11,180,1259.43
15010,34,20,308.94
15012,53,122,405.04
15014,42,33,257.67
15016,172,20,170.04
15017,33,20,125.58
15018,37,31,496.21000000000004
15019,265,66,252.81
15021,8,444,1871.77
15022,10,121,852.39
15023,2,553,6720.41
15024,9,152,1636.43
15025,32,67,361.96
15026,79,61,469.0
15027,30,35,1066.1499999999999
15028,7,48,627.13
15030,71,7,518.28
15031,3,110,653.19
15032,255,52,4959.1
15033,3,501,2557.18
15034,15,390,4274.16
15035,89,27,252.73000000000002
15036,71,119,429.56
15038,58,125,685.74
15039,9,1477,19766.59
15041,169,66,179.93
15042,198,5,135.93
15043,30,3,537.0
15044,18,444,7634.7300000000005
15045,151,12,735.66
15046,8,201,5090.42
15047,269,22,343.62
15048,64,94,381.0
15049,273,3,121.17000000000002
15050,24,76,1737.69
15051,22,142,1383.3600000000001
15052,318,28,207.73000000000002
15053,4,69,693.95
15054,11,114,302.1
15057,274,25,1489.5
15058,24,266,2102.54
15059,40,237,1337.72
15060,7,115,294.25
15061,3,403,54534.14
15062,70,57,987.86
15063,212,5,370.79999999999995
15065,37,155,3158.13
15066,52,42,893.59
15067,77,82,1744.76
15068,45,104,553.36
15069,178,70,1109.53
15070,372,1,106.2
15071,93,26,982.07
15073,9,54,1043.41
15074,104,41,735.67
15075,77,27,773.03
15076,172,49,880.85
15078,6,440,9743.11
15079,211,47,895.61
15081,21,33,504.8
15083,256,5,88.2
15087,281,15,306.94
15088,20,57,1160.07
15089,9,145,2420.84
15090,307,23,381.32
15091,66,30,480.71
15092,214,26,457.81
15093,17,108,4597.02
15095,103,47,1370.6
15096,42,11,219.39000000000001
15097,3,25,248.08
15098,181,3,39916.5
15099,83,23,410.48
15100,333,3,876.0
15101,8,8,317.53
15103,30,35,703.36
15104,196,67,993.54
15105,17,101,2298.93
15106,17,100,1422.52
15107,310,17,319.5
15108,141,60,1300.25
15109,245,28,484.95
15110,23,35,996.1
15111,28,84,1567.48
15113,9,97,3509.43
15114,29,197,2760.56
15115,17,21,340.11
15116,17,45,1352.75
15117,14,79,1551.78
15118,133,1,244.8
15119,245,14,266.4
15120,133,21,358.82
15121,49,28,457.72
15122,113,82,1633.78
15123,6,106,2199.31
15124,22,15,184.19
15125,24,127,11528.48
15127,65,16,406.53
15128,59,102,1471.0
15129,49,84,3447.4
15130,169,22,330.11
15132,17,52,977.9300000000001
15133,127,29,982.42
15134,14,73,1387.99
15135,238,9,139.05
15136,2,68,1286.7
15139,239,13,178.96
15140,51,80,2354.25
15142,45,26,498.74
15143,225,14,259.45
15144,7,217,6580.44
15145,3,67,1194.73
15146,164,91,1327.16
15147,239,28,623.5
15148,10,20,301.29
15149,133,23,520.8000000000001
15150,16,341,5291.33
15152,8,271,4745.69
15153,30,22,329.25
15154,74,71,254.28
15156,0,55,961.49
15157,3,125,1936.07
15158,44,7,401.40000000000003
15159,1,710,18641.010000000002
15160,356,4,158.16
15163,17,29,304.47
15164,68,101,824.58
15165,372,27,487.75
15167,319,39,158.8
15168,25,5,106.56
15171,330,5,1289.5
15172,8,110,1624.05
15174,322,11,135.75
15175,71,23,224.14
15178,259,3,40.5
15179,17,93,2206.95
15180,366,6,87.5
15181,65,16,689.4799999999999
15182,153,29,622.85
15184,28,62,402.2
15185,69,21,310.62
15186,13,19,411.41
15187,1,91,4777.18
15189,0,212,16225.39
15192,119,51,1044.32
15193,60,19,499.32
15194,2,310,7616.53
15195,2,1,3861.0
15197,10,32,1079.6100000000001
15198,91,10,193.64
15199,58,13,1268.7
15201,86,69,1236.54
15203,25,142,1827.8
15204,356,9,316.58
15205,84,37,653.24
15206,9,9,420.29999999999995
15208,0,42,870.12
15210,224,20,331.18
15211,59,52,894.4100000000001
15212,240,5,101.8
15213,318,24,328.35
15214,1,110,1661.44
15215,46,35,734.94
15216,87,2,96.6
15218,10,166,5756.89
15219,175,9,305.75
15220,50,117,1778.96
15221,365,5,403.25
15222,318,5,585.0
15223,225,20,755.75
15224,357,14,322.08
15225,233,23,409.40000000000003
15226,310,8,154.41
15227,36,58,1219.4
15228,65,125,3386.71
15230,238,23,429.6
15232,112,31,612.06
15234,276,14,197.0
15235,217,143,2247.51
15236,298,15,321.05
15237,1,99,1412.32
15238,28,50,1071.99
15239,9,49,780.59
15240,44,78,1706.57
15241,66,110,1756.44
15243,73,22,316.68
15244,64,34,631.57
15245,133,89,2515.84
15246,237,33,514.15
15247,121,6,356.0
15249,31,350,6688.46
15251,8,111,10484.99
15252,35,44,740.78
15253,15,53,918.1999999999999
15254,126,18,300.36
15255,65,47,890.85
15256,148,6,98.45
15257,282,7,317.15
15258,168,34,623.16
15260,99,77,1810.77
15261,134,19,254.82
15262,323,10,178.95000000000002
15263,106,12,156.51
15264,63,23,393.74
15265,150,82,1506.1200000000001
15266,337,6,119.3
15267,21,11,1717.36
15269,23,2,408.8
15270,15,41,2379.49
15271,6,264,2493.34
15272,56,63,721.94
15274,3,47,716.57
15275,37,41,615.14
15276,65,49,128.63
15277,46,12,255.89999999999998
15279,354,19,290.51
15280,171,16,113.12
15281,58,139,2332.15
15286,49,3,240.55
15287,21,20,486.69
15288,42,88,2306.52
15289,28,58,939.78
15290,4,204,7943.22
15291,25,103,4668.3
15292,200,24,178.39
15296,50,194,3672.86
15297,9,39,641.94
15298,1,192,4799.9
15299,66,7,4507.01
15300,63,28,496.44
15301,50,242,5049.95
15303,289,31,574.02
15304,60,23,694.4000000000001
15306,63,58,1174.35
15307,95,12,205.3
15308,273,19,310.47
15311,0,2366,60632.75
15312,74,47,924.85
15313,109,1,52.0
15314,198,24,327.97
15315,63,37,570.5
15316,326,1,165.0
15318,3,33,312.62
15319,282,16,204.5
15320,43,36,267.13
15321,70,95,2748.31
15322,85,42,679.68
15325,103,48,161.74
15326,333,29,311.71
15327,52,10,208.75
15329,38,57,1049.7
15330,31,13,714.96
15332,365,35,1661.06
15333,207,16,1028.56
15334,156,98,350.82
15335,52,35,170.22
15339,65,86,574.07
15341,80,17,2020.52
15342,129,24,406.09
15343,86,21,364.5
15344,0,26,563.94
15345,45,20,393.54
15346,332,17,252.42000000000002
15347,365,5,201.60000000000002
15348,71,9,158.04
15349,157,71,463.90999999999997
15350,372,5,115.65
15351,11,219,1934.66
15353,254,61,770.12
15355,28,14,277.05
15356,30,499,2718.03
15358,4,551,8347.2
15360,39,13,427.93
15361,361,7,418.92
15363,372,16,326.0
15364,95,29,913.19
15365,25,114,2314.32
15366,74,44,602.51
15367,56,95,1877.59
15368,20,4,446.94000000000005
15370,40,94,2386.05
15372,136,27,2007.3999999999999
15373,7,132,2415.91
15374,128,3,168.0
15376,39,116,1221.56
15379,168,194,3703.29
15380,8,36,1690.2600000000002
15381,213,8,596.85
15382,14,302,5955.71
15384,169,41,642.41
15385,39,12,316.88
15386,185,31,394.14
15388,269,10,140.54
15389,171,1,500.0
15392,4,84,1535.53
15393,15,12,231.86
15394,9,85,2183.54
15395,324,7,107.45
15396,112,14,288.18
15397,289,6,94.0
15398,15,73,1345.53
15399,0,50,815.77
15400,91,12,716.2
15402,148,42,626.77
15405,188,8,349.1
15406,30,53,510.71000000000004
15407,33,148,1046.74
15408,263,34,267.18
15410,83,122,3450.84
15411,25,98,1348.93
15412,170,10,190.53
15414,9,39,774.9000000000001
15415,312,47,559.61
15416,64,192,3984.32
15417,84,28,508.8
15419,24,8,135.86
15421,58,53,950.36
15422,322,6,97.7
15423,37,2,43.5
15424,253,17,383.34
15426,18,275,1404.07
15427,32,292,1430.54
15428,14,6,93.78
15429,26,82,397.35
15432,22,10,171.19
15433,213,41,533.3
15434,7,55,1041.48
15435,21,29,149.29
15436,11,291,1067.75
15437,261,45,200.16
15438,130,25,156.57999999999998
15440,54,62,383.68
15442,248,2,594.0
15443,1,372,3213.59
15444,8,214,1411.21
15445,263,5,113.5
15447,330,9,155.17
15448,312,28,494.64
15449,25,60,974.52
15450,29,30,429.84
15452,29,56,528.48
15453,1,279,1371.77
15454,361,25,179.1
15456,282,58,434.59000000000003
15457,261,58,237.07
15458,24,7,161.64
15460,353,56,214.26
15462,93,11,234.6
15463,28,7,126.14
15464,337,155,1044.65
15465,19,97,7354.62
15466,84,57,334.53
15467,8,52,524.88
15468,50,24,467.51
15469,49,24,538.55
15471,1,73,454.48
15472,112,76,371.56
15473,13,11,1771.2
15475,76,29,454.10999999999996
15478,39,44,1399.92
15480,115,45,905.5
15482,15,97,10879.76
15483,160,84,225.26
15484,0,187,3590.41
15485,29,85,2564.5
15488,92,2,91.32000000000001
15489,22,50,1134.28
15491,94,154,3100.09
15492,27,35,659.4599999999999
15493,32,289,1953.41
15494,20,122,1280.58
15497,17,15,1262.2
15498,1,512,13316.4
15500,7,68,1131.56
15502,14,213,10384.93
15503,362,66,141.04
15504,80,13,52.83
15505,52,97,3610.96
15506,22,161,972.08
15507,171,45,475.86
15508,188,92,1000.27
15510,330,1,250.0
15511,11,158,900.53
15512,155,7,121.0
15513,32,308,14758.220000000001
15514,11,166,4023.7200000000003
15516,44,15,62.43
15517,232,27,267.03
15518,63,210,1921.55
15520,1,18,343.5
15521,39,185,3000.2
15522,32,56,397.99
15523,83,10,412.01000000000005
15524,24,1,440.0
15525,1,156,734.37
15526,32,4,148.44
15527,18,162,2428.53
15528,253,26,229.33
15529,22,662,3962.6
15530,21,107,1497.31
15531,7,219,1972.39
15532,24,251,1564.73
15533,18,83,807.57
15535,172,72,502.9
15537,162,24,110.92
15539,6,41,538.46
15540,10,15,213.3
15541,113,29,85.13000000000001
15543,287,28,127.86
15544,8,259,3546.71
15545,53,80,288.96999999999997
15547,6,695,4910.6
15549,76,114,1681.46
15550,3,61,575.63
15551,35,29,436.06
15552,216,17,90.12
15553,59,55,428.93
15554,277,14,217.2
15555,11,887,4794.86
15556,23,31,279.77
15557,27,19,468.91
15561,11,27,800.59
15562,351,1,134.55
15563,21,113,1400.44
15565,49,8,173.16
15567,18,7,186.01
15568,2,53,758.29
15569,103,31,1375.71
15570,6,319,4148.82
15571,11,57,650.4300000000001
15572,4,212,2533.42
15573,31,97,591.1899999999999
